,joke id,joke,word count,embedding
125,126,"A Briton, a Frenchman and a Russian are viewing a painting of Adam and Eve frolicking in the Garden of Eden. ""Look at their reserve, their calm,"" muses the Brit. ""They must be British."" ""Nonsense,"" the Frenchman disagrees. ""They're naked, and so beautiful. Clearly, they are French."" ""No way! They have no clothes and no shelter,"" the Russian points out, ""They have only an apple to eat, and they are being told they live in a paradise. Obviously, they are Russian.""",81,"[ 0.62073165 -0.75794774  0.6418254  ... -0.4453821   0.56347007
  0.5212094 ]"
129,130,"An old man goes to the doctor for his yearly physical, his wife tagging along. When the doctor enters the examination room, he tells the old man, ""I need a urine sample, a stool sample and a sperm sample."" The old man, being hard of hearing, looks at his wife and yells: ""WHAT? What did he say? What's he want?"" His wife yells back, ""He needs your underwear.""",68,"[ 0.34714922 -0.35189065 -0.27943903 ... -0.663372    0.6268819
  0.35112536]"
130,131,"A guy had been feeling down for so long that he finally decided to seek the aid of a psychiatrist. He went there, lay on the couch, spilled his guts then waited for the profound wisdom of the psychiatrist to make him feel better.The psychiatrist asked me a few questions, took some notes then sat thinking in silence for a few minutes with a puzzled look on his face. He looked up with an expression of delight and said, ""I think your problem is low self-esteem. It is very common among losers.""",92,"[ 0.19334537 -0.9024865   0.6539548  ... -0.7546788   0.27410427
  0.32579204]"
131,132,"Mickey Mouse is having a nasty divorce with Minnie Mouse. Mickey spoke to the judge about the separation.""I'm sorry Mickey, but I can't legally separate you two on the grounds that Minnie is mentally insane..."" Mickey replied, ""I didn't say she was mentally insane, I said that she's fucking Goofy!""",50,"[ 0.56384677 -0.4046892   0.09404138 ...  0.16831714  0.16224499
  0.59191144]"
132,133,"The new employee stood before the paper shredder looking confused. ""Need some help?"" a secretary, walking by, asked. ""Yes,"" he replied, ""how does this thing work?"" ""Simple,"" she said, taking the fat report from his hand and feeding it into the shredder.""Thanks, but where do the copies come out?""",49,"[ 0.34059557 -1.1042575   0.43783227 ... -0.5437854   0.00591825
 -0.3742889 ]"
133,134,"An artist asked the gallery owner if there had been any interest in his paintings currently on display. ""I've got good news and bad news,"" the owner replied. ""The good news is that a gentleman inquired about your work and wondered if it would appreciate in value after your death. When I told him it would, he bought all fifteen of your paintings."" ""That's wonderful!"" the artist exclaimed. ""What's the bad news?"" With concern, the gallery owner replied: ""The guy was your doctor.""",83,"[ 0.6869009   0.05843604  0.6152652  ... -0.09513578  0.78825617
 -0.39669365]"
134,135,"A guy walked past a mental hospital and heard a moaning voice: ""13...13...13...13..."" The man looked over to the hospital and saw a hole in the wall. He looked through the hole and got poked in the eye. The moaning voice then groaned: ""14...14...14...14...""",44,"[ 0.76033664 -0.67025256 -0.28476214 ... -1.5351286  -0.18305053
 -0.2695565 ]"
135,136,"A man went to apply for a job. After filling out all of his applications, he waited anxiously for the outcome.The employer read all his applications and said, ""We have an opening for people like you."" ""Oh, great,"" he said. ""What is it?"" ""It's called the door!""",47,"[ 0.3094875  -0.32181987  0.34935382 ... -0.16403624 -0.19763233
 -0.46309966]"
136,137,"Deep within a forest, a little turtle began to climb a tree. After hours of effort, he reached the top, jumped into the air waving his front legs and crashed to the ground. After recovering, he slowly climbed the tree again, jumped, and fell to the ground. The turtle tried again and again, while a couple of birds sitting on a branch watched his sad efforts. Finally, the female bird turned to her mate. ""Dear,"" she chirped, ""I think it's time to tell him he's adopted.""",86,"[-0.08287401 -0.8537134  -0.53849137 ... -0.00585241  1.4540821
 -0.65996724]"
137,138,"WASHINGTON (Reuters) - A tragic fire on Monday destroyed the personal library of President George W. Bush. Both of his books have been lost. Presidential spokesman Ari Fleischer said the president was devastated, as he had not finished coloring the second one.",42,"[-0.19219771  0.16942233  0.63516504 ...  0.40550083  0.77104867
 -0.5255213 ]"
138,139,"In a Veteran's Day speech, President Bush vowed, We will finish the mission. Period. Afterwards, he was advised that he doesn't have to read the punctuation marks.",27,"[-0.04741697 -0.1241267   0.5769731  ...  0.4831229   0.19938362
 -0.3443531 ]"
139,140,Chuck Norris' calendar goes straight from March 31st to April 2nd; no one fools Chuck Norris.,16,"[-0.42654634 -0.9368061  -0.04044166 ... -0.5241903  -0.07778174
  0.19818388]"
140,141,Jack Bauer can get McDonald's breakfast after 10:30.,8,"[ 0.6719309   0.22614239  1.1857109  ... -0.62050164  0.19023642
  0.4334639 ]"
144,145,"A blonde, brunette, and a red head are all lined up to be shot to death by a firing squad. The brunette shouts, ""Tornado!"" and the riflemen turn around to see the tornado. It isn't there, and the brunette uses that time to escape. The red head yells, ""Lightning!"" and the riflemen again turn to see the disaster, yet there is no disaster and the red head escapes. The blonde yells, ""Fire!"" The riflemen do.",75,"[ 0.3426627  -0.94483304 -0.77456915 ... -0.4820102  -0.01706496
 -0.18692657]"
145,146,America: 8:00 - Welcome to work! 12:00 - Lunch break 17:00 - The work day is over Japan: 8:00 - Are you already at work? 12:00 - Continue your work 17:00 - The work day is over 20:00 - Please finish your work Romania: 8:00 - Has anyone come to work? 12:00 - Did someone start working? 16:00 - Is anyone at work?,63,"[ 0.01995929  0.3082204   0.462037   ... -0.08532941 -0.73300713
  0.8722813 ]"
148,149,"A little girl asked her father, ""Daddy? Do all fairy tales begin with 'Once Upon a Time'"" He replied, ""No, there is a whole series of fairy tales that begin with 'If elected I promise'""",35,"[ 0.9981108   0.17656802  0.26859415 ... -0.50149363  1.0847653
 -0.17488721]"
150,151,"Three vampires walk into a bar. ""What can I get ya?"" asks the bartender. ""Blood,"" orders the first vampire. ""Make it two,"" says the second. The bartender looks at the third. ""What about you, buddy?"" ""Plasma,"" says the vampire. ""Okay,"" replies the barman. ""Let me make sure I've got this straight. Two bloods and a blood light.""",57,"[ 0.23446497 -1.1494555   0.4305417  ... -0.4565226   0.56614256
  0.11139911]"
151,152,"A week after John bought a bull, he complained to his friend, ""All that bull does is eat grass. Won't even look at a cow."" ""Take him to the vet,"" his friend suggested. The next week, John is much happier. ""The vet gave him some pills, and the bull serviced all of my cows!"" he told his pal. ""Then he broke through the fence and bred with all my neighbor's cows! He's like a machine!"" ""What kind of pills were they?"" asked the friend.""I don't know, but they've got a peppermint taste.""",92,"[ 0.8774028  -0.61017305  0.38210735 ... -0.46163625  0.5604818
  0.6607876 ]"
152,153,Q: Why did the chicken cross the Mobius Strip?  A: To get to the same side.,16,"[ 0.7607553  -0.42949906  0.14088398 ...  0.57869154  0.22944409
 -0.43704596]"
153,154,"Poodle: ""My life is a mess. My owner is mean, my girlfriend is leaving me for a German shepherd, and I'm nervous as a cat."" Collie: ""Why don't you go see a psychiatrist?"" Poodle: ""I can't. I'm not allowed on the couch.""",42,"[ 0.25864694 -0.57899445  0.03985045 ... -0.3070972  -0.30437136
 -0.45458427]"
154,155,Did you hear that NASA has launched several cows into orbit? It was the herd shot around the world.,19,"[-0.3237895  -0.06638027  0.5627126  ... -0.35628754  1.0174112
 -0.5946878 ]"
155,156,"A bear walks into a bar and says,""I'd like a beer ……………. and some of those peanuts."" The bartender says, ""Sure, but why the big paws?""",26,"[ 0.66429716 -0.0380823   0.52982736 ... -0.3660446   0.02961879
 -0.24718298]"
156,157,"A dog goes into a bar and orders a martini. The bartender says, ""You don't see a dog in here drinking a martini very often."" The dog says, ""At these prices, I'm not surprised.""",34,"[ 0.01670955 -0.31249171  0.28866914 ... -0.03646239  0.09860633
  0.32689083]"
157,158,I'm reading a great book about antigravity -- I just can't put it down.,14,"[ 0.47695783  0.12303548  1.0949847  ... -0.18214007  0.7605184
 -0.49481067]"
